game,winner,game_length,peak_setup_p0,peak_setup_p1,ko_count_p0,ko_count_p1,p0_meganium_active_events,p1_meganium_active_events,p0_meganium_failure_reason,p1_meganium_failure_reason,p0_turn_chikorita_or_applin_played,p0_turn_any_evolution,p0_turn_meganium_in_play,p0_turn_meganium_benched,p0_turn_hydrapple_attack_ready,p0_turn_ogerpon_attack_ready,p0_turn_any_attacker_ready,p0_turn_full_target_state,p1_turn_chikorita_or_applin_played,p1_turn_any_evolution,p1_turn_meganium_in_play,p1_turn_meganium_benched,p1_turn_hydrapple_attack_ready,p1_turn_ogerpon_attack_ready,p1_turn_any_attacker_ready,p1_turn_full_target_state,p0_regressed_chikorita_or_applin_played,p0_regressed_any_evolution,p0_regressed_meganium_in_play,p0_regressed_meganium_benched,p0_regressed_hydrapple_attack_ready,p0_regressed_ogerpon_attack_ready,p0_regressed_any_attacker_ready,p0_regressed_full_target_state,p1_regressed_chikorita_or_applin_played,p1_regressed_any_evolution,p1_regressed_meganium_in_play,p1_regressed_meganium_benched,p1_regressed_hydrapple_attack_ready,p1_regressed_ogerpon_attack_ready,p1_regressed_any_attacker_ready,p1_regressed_full_target_state
0,0,11,568,497,7,6,,10:forced_or_chosen_switch,,,1,3,3,3,5,9,5,5,1,8,8,8,,6,6,8,True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,True
1,0,11,455,158,2,5,,,,played_stuck_never_evolved,1,5,5,5,,5,5,5,1,4,,,,,,,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,0,7,530,141,2,3,,,,played_then_ko_before_meganium,1,3,3,3,,3,3,3,1,,,,,,,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3,1,8,143,544,3,3,,,played_stuck_never_evolved,,5,,,,,,,,6,8,8,8,,4,4,8,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
4,0,15,687,245,2,6,,,,,5,7,7,7,,7,7,7,1,,12,12,,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
5,0,11,819,98,4,5,,,,played_then_ko_before_meganium,1,3,3,3,5,3,3,3,2,8,,,,,,,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
6,1,8,174,683,4,5,,,played_then_ko_before_meganium,,1,7,,,,3,3,,1,4,8,8,,4,4,8,True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False
7,0,17,795,293,10,7,,,,played_then_ko_before_meganium,1,9,13,13,15,11,11,13,1,6,,,4,12,4,,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True,False
8,0,9,451,399,4,6,3:evolve_active_empty_bench,,,,1,7,3,4,9,5,5,4,2,8,4,4,,8,8,4,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True
9,0,7,176,173,5,1,,,,drawn_never_played,1,3,7,7,3,,3,,,,,,,4,4,,True,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False
10,1,10,507,517,5,3,7:forced_or_chosen_switch;9:forced_or_chosen_switch,,,,5,5,5,5,,3,3,5,8,8,8,8,,4,4,8,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False
11,1,10,190,575,5,4,7:forced_or_chosen_switch;9:forced_or_chosen_switch,,,,3,,5,5,,,,,2,8,10,10,,4,4,10,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
12,1,14,369,646,7,4,,,,,3,13,13,13,,13,13,,1,4,10,10,6,8,6,10,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
13,1,16,166,631,7,3,,,played_then_ko_before_meganium,,1,5,,,,,,,2,4,12,12,,4,4,12,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
14,0,11,640,133,6,6,,,,drawn_never_played,1,3,5,5,5,9,5,5,4,6,,,,,,,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
15,0,13,307,169,6,6,,,played_then_ko_before_meganium,played_stuck_never_evolved,1,3,,,11,3,3,,2,6,,,,4,4,,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False
16,1,16,401,304,6,5,5:evolve_active_with_bench_available;13:forced_or_chosen_switch;15:forced_or_chosen_switch,8:evolve_active_with_bench_available,,,3,15,5,9,15,11,11,9,2,4,8,,12,12,12,,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False
17,0,19,730,212,7,3,,,,drawn_never_played,1,3,9,9,15,15,15,15,18,,,,,14,14,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
18,1,12,498,192,5,4,,,,played_then_ko_before_meganium,3,3,9,9,,5,5,11,1,12,,,,4,4,,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,False
19,1,12,231,551,5,5,,,,,5,,11,11,,9,9,,2,4,6,6,,6,6,6,False,False,False,False,False,True,True,False,True,True,False,False,False,True,True,True
20,0,7,537,120,2,3,,,,played_then_ko_before_meganium,3,3,5,5,,3,3,5,1,,,,,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
21,0,13,629,166,6,6,,,,drawn_never_played,1,7,7,7,11,7,7,7,1,4,,,8,,8,,True,True,False,False,False,False,False,True,True,True,False,False,True,False,True,False
22,1,8,468,562,6,6,,,,,1,3,3,3,7,3,3,3,2,4,6,6,,4,4,6,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,False
23,0,9,629,113,2,4,,,,never_drawn,3,3,3,3,,3,3,3,1,,,,,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
24,0,3,463,70,2,1,,,,drawn_never_played,1,3,3,3,,3,3,3,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,0,9,590,152,7,4,,,,never_drawn,3,5,5,5,7,5,5,5,1,4,,,4,8,4,,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True,False
